,Constraint Name,Constraint equation,Sense,RHS
0,cluster_us-central-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_central_1#start')]",=,2.0
1,cluster_us-east-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')]",=,1.0
2,cluster_us-south-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_south_1#start')]",=,100.0
3,cluster_us-west-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_west_1#start')]",=,100.0
4,cluster_us-central-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_central_1#start')]",=,0.0
5,cluster_us-east-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_east_1#start')]",=,0.0
6,cluster_us-south-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_south_1#start')]",=,0.0
7,cluster_us-west-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_west_1#start')]",=,500.0
8,source,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_west_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_central_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_west_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_central_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_south_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_east_1#start')]",=,703.0
9,flow_conservation-start_node-corecontrast@POST@/singlecore,"-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_central_1#start',_'corecontrast@POST@/singlecore#us_central_1#end')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')]",=,0.0
10,flow_conservation-start_node-corecontrast@POST@/multicore,"-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_central_1#start',_'corecontrast@POST@/multicore#us_central_1#end')] + load_for_network_edge[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_central_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_central_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_central_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_central_1#start')]",=,0.0
11,flow_conservation-start_node-sslateingress@POST@/singlecore,"-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_central_1#start',_'sslateingress@POST@/singlecore#us_central_1#end')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_central_1#start')]",=,0.0
12,flow_conservation-start_node-sslateingress@POST@/multicore,"-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_central_1#start',_'sslateingress@POST@/multicore#us_central_1#end')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_central_1#start')]",=,0.0
13,flow_conservation-start_node-corecontrast@POST@/singlecore,"-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')]",=,0.0
14,flow_conservation-start_node-corecontrast@POST@/multicore,"-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')] + load_for_network_edge[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_east_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_east_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_east_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_east_1#start')]",=,0.0
15,flow_conservation-start_node-sslateingress@POST@/singlecore,"-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')]",=,0.0
16,flow_conservation-start_node-sslateingress@POST@/multicore,"-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_east_1#start')]",=,0.0
17,flow_conservation-start_node-corecontrast@POST@/singlecore,"-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_south_1#start',_'corecontrast@POST@/singlecore#us_south_1#end')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')]",=,0.0
18,flow_conservation-start_node-corecontrast@POST@/multicore,"-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_south_1#start',_'corecontrast@POST@/multicore#us_south_1#end')] + load_for_network_edge[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",=,0.0
19,flow_conservation-start_node-sslateingress@POST@/singlecore,"-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_south_1#start',_'sslateingress@POST@/singlecore#us_south_1#end')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_south_1#start')]",=,0.0
20,flow_conservation-start_node-sslateingress@POST@/multicore,"-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_south_1#start',_'sslateingress@POST@/multicore#us_south_1#end')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_south_1#start')]",=,0.0
21,flow_conservation-start_node-corecontrast@POST@/singlecore,"-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')]",=,0.0
